observableId	simulationConditionId	measurement	time
observable_Calcium	simCondition	6.217052763193541	0.0
observable_Calcium	simCondition	0.31468599713387285	0.1
observable_Calcium	simCondition	0.8132455929653903	0.25
observable_Calcium	simCondition	2.2382618850584697	0.5
observable_Calcium	simCondition	5.222965212903726	0.75
observable_Calcium	simCondition	10.210623709100918	1.0
observable_Calcium	simCondition	22.961446376825574	1.25
observable_Calcium	simCondition	48.53691655186959	1.5
observable_Calcium	simCondition	140.56768751492467	1.75
observable_Calcium	simCondition	902.3718321647594	2.0
observable_Calcium	simCondition	5242.667166524533	2.25
observable_Calcium	simCondition	3931.8364228727587	2.5
observable_Calcium	simCondition	176.09747007969202	2.75
observable_Calcium	simCondition	428.31811516929196	3.0
observable_Calcium	simCondition	1720.0681572575643	3.25
observable_Calcium	simCondition	3156.4043824355626	3.5
observable_Calcium	simCondition	963.4891454962086	3.75
observable_Calcium	simCondition	579.1080552547099	4.0
